TIPO;DESCRIÇÃO;FREQUENCIA;TEMPO
;Plasmodim falciparum;1457, 600;00:10:00
PARASITAS; Taenia;187,18;00:03:00
PARASITAS;Toxoplasma (human strain);1543, 600;00:10:00
PARASITAS;Trichuris sp. (male;1586, 600;00:10:00
PARASITAS;Trichomonas vaginalis;1488, 600;00:10:00
PARASITAS;Trichophyton  mentagrophytes;311,18;00:03:00
PARASITAS;Trichophyton  rubrum: ;"752,180 
923,180";00:06:00
PARASITAS;Trypanosoma cruzi;1808, 600;00:10:00
PARASITA H.C;Clostridium acetobutylicum;"1519, 600
1500, 600";00:20:00
PARASITA H.C;Clostridium botulinum ;1414, 600;00:10:00
PARASITA H.C;Clostridium perfringens;5000, 600;00:10:00
PARASITA H.C;Clostridium perfringens spores;1547, 600;00:10:00
PARASITA H.C;Clostridium septicum;1422, 600;00:10:00
PARASITA H.C;Clostridium sporogenes;5000, 600;00:10:00
PARASITA H.C;Clostridium tetani ;5000, 600;00:10:00
PARASITA H.C;Fasciola hepatica;1660, 600;00:10:00
PARASITA H.C;Fasciola hepatica cercariae;1668, 600;00:10:00
PARASITA H.C;Fasciola hepatica eggs;1660, 600;00:10:00
PARASITA H.C;Ascaris lumbricoides (m and f);1594, 600;00:10:00
PARASITA H.C;Ascaris megalocephala (male);1594, 600;00:10:00
PARASITA H.C;Bacteroides fragilis found with common roundworm Ascaris;1426, 600;00:10:00
PARASITA H.C;Campylobacter pyloridis;1387, 600;00:10:00
PARASITA H.C;Campylobacter fetus smear;1437, 600;00:10:00
PARASITA H.C;Ancylostoma caninum;"1562, 600
1535, 600
1508, 600";00:30:00
PARASITA H.C;Trichinella spiralis (muscle);1580, 600;00:10:00
PARASITA H.C;Salmonella enteriditis intestinal infection;1285, 600;00:10:00
PARASITA H.C;Salmonella paratyphi;"1437, 600
1504, 600";00:20:00
PARASITA H.C;Salmonella typhimurium ;"1387, 600
1508, 600
1523, 600";00:30:00
PARASITA H.C;Shigella ;"1523, 600
348, 600";00:20:00
PARASITA H.C;Shigella flexneri ;1539, 600;00:10:00
PARASITA H.C;Shigella sonnei ;1242, 600;00:10:00
PARASITA H.C;Staphylococcus aureus (culture);5000, 600;00:10:00
;Streptococcus family;"1266, 180
880, 180
848, 180
787, 180
784, 180
727, 180
875, 180
885, 180
2000, 180";00:27:00
PARASITA H.C;Streptococcus lactis ;1504, 600;00:10:00
PARASITA H.C;Streptococcus mitis ;1242, 600;00:10:00
PARASITA H.C;Streptococcus pneumoniae ;1437, 600;00:10:00
PARASITA H.C;Streptococcus sp. group G;1437, 600;00:10:00
PARASITA H.C;Escherichia coli (E. coli) intestinal ;"1391, 600
1535, 600";00:20:00
