Nome,Frequências,Tempos
Eurytrema Pancreaticum Stages,"5000,","600,"
Chlamydia trachomatis,"1488,","600,"
Neisseria meningitidis,"19715.68,981.59,16628.0,88.0,927.0,90.0","180,180,180,180,180,180"
Coxsackie B4,"2900.0,864.0,790.0,690.0,610.0,470.0,484.0,986.0,644.0,254.0,10000.0,2720.0,2170.0,1800.0,1600.0,1500.0,880.0,787.0,776.0,727.0,20.0,152.0,242.0,642.0,674.0,922.0,353.0,384.0,834.0,587.0,723.0,18122.49,902.27,705.0,534.0,867.0,612.0,487.0,868.0,653.0,654.0,421.0,353.0,540.0,8632.0,18047.0,81.0,898.0,55.0,462.0,1043.0,1083.0,569.0,647.0,708.0,774.0,488.0,736.0,814.0,343.0,551.0,657.0,668.0,669.0,612.0,136.0,144.0,232.0,380.0,422.0,424.0,435.0,921.0,923.0,769.0,1189.0,595.0,676.0,5000.0,3636.0,2632.0,1850.0,1500.0,1488.0,1422.0,1189.0,1044.0,922.0,868.0,845.0,822.0,788.0,776.0,766.0,742.0,733.0,721.0,676.0,654.0,625.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Neisseria Meningococcal,"1305.6,",
Hiv,"683,714,3554","180,180,180"
Dientamoeba Fragilis,"5000,","600,"
Shigella Flexneri,"1539,","600,"
Shigella Dysenteriae,"1539,","600,"
Trichophyton Cutaneum,"752,923","180,180"
Clostridium Acetobutylicum,"1519,1500","600,600"
Clostridium Perfringens Spores,"1547,","600,"
Clostridium Septicum,"1422,","600,"
Clostridium Sporogenes,"5000,","600,"
Endolimax nana,"19715.0,68.0,981.0,59.0,21508.0,1.0,1070.0,82.0","180,180,180,180,180,180,180,180"
Enterococcus Gallinarum,"686,409,454,5000","600,180,180,180"
Leishmania,"787.0,525.0,781.0,791.0,20064.19,998.94,19914.83,991.5,20014.4,996.46,20163.76,1003.89","180,180,180,180,180,180,180,180,180,180,180,180"
Taenia Sp,"187.18,",
Fascíola Hepática Cercariae,"1668,","600,"
Fascíola Hepática Eggs,"1660,","600,"
Fascíola Hepática Metacercariae,"1668,","600,"
Fascíola HepáticaMiracidia,"1668,","600,"
Fasciolopsis Buskii Adult,"1695,","600,"
Fasciolopsis Cercariae,"1687,","600,"
Fasciolopsis Miracidia,"1687,","600,"
Fasciolopsis Rediae,"1687,","600,"
Endolimax Nana,"19715.0,68.0,981.0,59.0,21508.0,1.0,1070.0,82.0","180,180,180,180,180,180,180,180"
Taenia Sp.,"187.18,",
Leishmania Sp.,"787.0,525.0,781.0,791.0,20064.19,998.94,19914.83,991.5,20014.4,996.46,20163.76,1003.89","180,180,180,180,180,180,180,180,180,180,180,180"
Epstein-Barr Virus,"1484,1465","600,600"
Herpes Simplex Virus,"1141,1350","600,600"
Herpes Simples,"1141,1350","600,600"
Dengue Virus,"464,440,3672,7766,7760,7344,1234,5000,727,787,800,875,880,885,728,1550,1500,2008,20,728,440,465,613,666,727,787,800,1000,5000,10000","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Chikungunya Virus,"5000,145,267,587,142","600,600,300,300,600"
Rotavirus,"665,666,667,776,787,802,1550,832,840,880,1570,1998,2008,2052,2127.5,2489,2490,5000","300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300"
Norovirus,"665,666,667,776,787,802,1550,832,840,880,1570,1998,2008,2052,2127.5,2489,2490,5000","300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300"
Salmonella Enterica,"1387,1508,1523","600,600,600"
Shigella Sonnei,"1242,","600,"
Campylobacter Jejuni,"1437,","600,"
 Papillomavirus ,"45,489,874,907,16970,265,5657,3203,1011,9258,3083,1051,9609,466,110,767,404","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Ancylostoma Duodenale,"5000,","600,"
Giardia Lamblia,"5000,","600,"
Streptococcus Viridans,"1242,","600,"
Human Papillomavirus (Hpv),"45,489,874,907,16970,265,5657,3203,1011,9258,3083,1051,9609,466,110,767,404","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Mycoplasma Hominis,"2900.0,864.0,790.0,690.0,610.0,470.0,484.0,986.0,644.0,254.0,250.0,1.2,650.0,625.0,600.0,787.0,727.0,262.0,776.0,766.0,10000.0,5000.0,2720.0,1664.0,1550.0,1500.0,962.0,880.0,802.0,800.0,787.0,776.0,766.0,727.0,688.0,683.0,650.0,625.0,600.0,120.0,20.0,7344.0,3702.0,3672.0,2720.0,2170.0,1800.0,1600.0,1500.0,1283.0,1234.0,1233.0,880.0,787.0,727.0,522.0,444.0,146.0,125.0,95.0,72.0,20.0,0.0,5.0,470.0,693.0,813.0,1.1,5000.0,6000.0,1131.0,33.0,2900.0,878.2,880.2,864.0,790.0,706.7,690.0,610.0,484.0,986.0,644.0,254.0,7344.0,2950.0,2842.0,1147.0,1113.0,1067.0,1062.0,1045.0,969.9,880.2,878.2,865.0,829.3,800.4,790.0,783.6","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Clamydia Trachomatis,"1488,","600,"
Bartonella Henselae,"2900.0,864.0,790.0,690.0,610.0,470.0,484.0,986.0,644.0,254.0,364.0,379.0,645.0,654.0,786.0,840.0,842.0,844.0,846.0,848.0,850.0,857.0,967.0,6878.0,634.0,696.0,716.0,1518.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Yersinia Enterocolitica,"5120.0,5000.0,1600.0,512.0,508.0,504.0,500.0,496.0,492.0,338.0,333.0,210.0,216.0,160.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Fasciolopsis Buskii Eggs,"1695,","600,"
Fasciolopsis buskii eggs unincubated,"5000,","600,"
Streptococcus Gallolyticus,"1504,","600,"
Streptococcus Bovis,"1242,","600,"
Streptococcus Haemolyticus A,"1242,","600,"
