Nome,Frequências,Tempos
Streptococcus Pneumoniae,"1437,","600,"
Chikungunya Vírus,"5000,145,267,587,142","600,600,300,300,600"
Actinomyces Israelii,"2720.0,2489.0,1800.0,1600.0,1550.0,802.0,885.0,880.0,875.0,787.0,776.0,727.0,46.5,766.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Chikungunya,"5000,145,267,587,142","600,600,300,300,600"
Candida Parapsilosis,"3176.0,2644.0,1403.0,1151.0,943.0,886.0,877.0,866.0,762.0,742.0,661.0,465.0,464.0,450.0,414.0,412.0,386.0,381.0,254.2,120.0,95.0,64.0,20.0,880.0,95.0,125.0,20.0,60.0,225.0,427.0,240.0,650.0,688.0,152.0,442.0,8146.0,751.0,1146.0,1403.0,675.0,709.0,10000.0,5000.0,3176.0,2489.0,1395.0,1276.0,1160.0,1044.0,928.0,877.0,812.0,728.0,696.0,580.0,465.0,464.0,381.0,348.0,232.0,116.0,58.0,20.0,1403.0,675.0,709.0,2167.0,2128.0,2182.0,465.0,20.0,60.0,95.0,125.0,225.0,427.0,464.0,727.0,19217.0,81.0,956.0,80.0,2167.0,2128.0,2182.0,465.0,72.0,422.0,582.0,727.0,787.0,802.0,1016.0,1134.0,1153.0,1550.0,2222.0,412.0,543.0,2128.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Chlamydia Trachomatis,"1488,","600,"
Gardnerella Vaginalis,"1328.6,",
Clostridium Difficile,"1422,","600,"
Fasciola Hepatica Metacercariae,"1668,","600,"
Fasciola Hepatica Cercariae,"1668,","600,"
Fasciola Hepatica Miracidia,"1668,","600,"
Fasciola Hepatica Eggs,"1660,","600,"
Fasciolopsis Buskii Eggs Unincubated,"5000,","600,"
Hepatite C,"28,1550,1351,880,802,727,224,317,329,477,922","180,180,180,180,180,180,180,180,180,180,180"
Hepatite B,"28,1550,1351,880,802,727,224,317,329,477,922","180,180,180,180,180,180,180,180,180,180,180"
Entamoeba Coli,"5000,","600,"
Staphylococcus Haemolyticus,"424,727,786,943,1050","180,180,180,180,180"
Staphylococcus Epidermidis,"1242,","600,"
Clostridium Tetani,"5000,","600,"
Clostridium tetani,"5000,","600,"
Trichomonas Vaginalis,"1488,","600,"
